2018-02-21 19:55:10,915|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 19:55:10,920|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 19:55:10,924|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:49:03,018|||main||||DEBUG|||||org.acumos.databroker.zipbroker.test.service.impl.ZipBrokerServiceImpl|| In getZipFileFromURL
2018-02-21 20:49:03,019|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getZipFile method
2018-02-21 20:49:03,371|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getUnzipFileFromInputStream method
2018-02-21 20:49:03,372|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:49:03,379|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:49:03,382|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:49:03,610|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:49:03,690|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:49:03,708|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:49:03,831|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:49:03,855|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:49:03,980|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:49:03,999|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:49:04,125|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:49:04,143|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:49:04,156|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:49:04,276|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:49:04,291|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:49:04,299|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:49:04,310|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:49:04,317|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:49:04,321|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:49:04,419|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:49:04,441|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:49:04,458|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:49:04,468|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:49:04,477|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:49:04,486|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:49:04,495|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:49:04,502|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:49:04,508|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:49:04,515|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:49:04,520|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:49:04,524|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:49:04,529|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:49:04,563|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:49:04,574|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:49:04,587|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:49:04,602|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:49:04,612|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
2018-02-21 20:49:04,623|||main||||DEBUG|||||org.acumos.databroker.zipbroker.service.impl.ZipBrokerFileServiceImpl|| In getMIMEType method
